RELIANCE , SBIN, ASIANPAINT, TATAMOTORS,CIPLA 
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.25,950.85
2376.0,430.8,3358.7,298.4,950.5
2375.75,430.8,3358.7,298.4,950.5
2375.75,430.8,3358.7,298.4,950.5
2375.75,430.8,3358.7,298.4,950.5
2375.75,430.8,3358.7,298.4,950.85
2376.0,430.8,3358.7,298.25,950.5
2375.85,430.8,3358.7,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,950.5
2375.85,430.8,3357.5,298.5,951.4
2375.85,430.85,3357.5,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
2375.75,430.85,3361.85,298.6,951.4
